"""",FK1-07006,FK1-07006 | truza bordada ; talla-16 color: amarillo color: na,,"update sku set sku_readable = ""FK1-07006 | truza bordada ; talla-16 color: amarillo color: na"" where sku = ""FK1-07006"";"
"""",FK1-01007,FK1-01007 | truza bordada ; talla-4 color: fucsia color: na,,"update sku set sku_readable = ""FK1-01007 | truza bordada ; talla-4 color: fucsia color: na"" where sku = ""FK1-01007"";"
"""",FK1-02007,FK1-02007 | truza bordada ; talla-6 color: fucsia color: na,,"update sku set sku_readable = ""FK1-02007 | truza bordada ; talla-6 color: fucsia color: na"" where sku = ""FK1-02007"";"
"""",FK1-03007,FK1-03007 | truza bordada ; talla-8 color: fucsia color: na,,"update sku set sku_readable = ""FK1-03007 | truza bordada ; talla-8 color: fucsia color: na"" where sku = ""FK1-03007"";"
"""",FK1-04007,FK1-04007 | truza bordada ; talla-10 color: fucsia color: na,,"update sku set sku_readable = ""FK1-04007 | truza bordada ; talla-10 color: fucsia color: na"" where sku = ""FK1-04007"";"
"""",FK1-05007,FK1-05007 | truza bordada ; talla-12 color: fucsia color: na,,"update sku set sku_readable = ""FK1-05007 | truza bordada ; talla-12 color: fucsia color: na"" where sku = ""FK1-05007"";"
"""",FK1-06007,FK1-06007 | truza bordada ; talla-14 color: fucsia color: na,,"update sku set sku_readable = ""FK1-06007 | truza bordada ; talla-14 color: fucsia color: na"" where sku = ""FK1-06007"";"
"""",FK1-07007,FK1-07007 | truza bordada ; talla-16 color: fucsia color: na,,"update sku set sku_readable = ""FK1-07007 | truza bordada ; talla-16 color: fucsia color: na"" where sku = ""FK1-07007"";"
"""",FK1-01008,FK1-01008 | truza bordada ; talla-4 color: turqueza color: na,,"update sku set sku_readable = ""FK1-01008 | truza bordada ; talla-4 color: turqueza color: na"" where sku = ""FK1-01008"";"
"""",FK1-02008,FK1-02008 | truza bordada ; talla-6 color: turqueza color: na,,"update sku set sku_readable = ""FK1-02008 | truza bordada ; talla-6 color: turqueza color: na"" where sku = ""FK1-02008"";"
